,0
1,I like it
2,"Whatever is the Specs they provide, but they have ""Good Year "" Tyers then it's now Bhagwan Bharosa 
Chale to chaand tak nai tho Raat tak wala. 

The most hopeless and useless tyers company is ""Good Year"""
3,Only in  petrol. No diesel. If it's coming in diesel than it's compete with others. Good looks.
4,Looks like premium
5,If it comes under 15lak ill sell rapid and buy this 👍🏻
6,"Telephone......No No......Mobile phone controls bro.
Telephone sound so cheap"
7,It's price in india is 1 million
8,No electric hand brake 🙄
9,"Sir please suggest my budget is 13laks I'm very confused in buying suv
Sonet htx dct and nexon xz .
We generally use car weekly twice only"
10,"Now confusion increased 
Skoda kushaq, kia seltos , MG hector , and tata harrier 
Which is better 😅"
11,Expected launch date?
12,"Interior quality seems to be low.
Price should start from 9L Max."
13,Bhai zameen pe let ke video shoot kar letaa
14,Sab reviews dekho par asli samajh tera video dekh ke hi aati hai. Now tell us Creta ya Kushaq? :)
15,I am interested this car
16,Very true ..price..as we know manufactured in India..but if they fix even more than 15lakhs then sales figure wil drastically come down...
17,😍
18,Far better than creata and kia seltos
19,boot space is kinda less
20,ugh! interoirs are a cheap shiny mess. awaiting VW Taigun!
21,Please inform about karoq launching date in india
22,If the price is under 20 lacs then this is a fabulous deal
23,Cream colour interior looks more premium than black
24,That ragged phone is v3 cars
25,I am in love with classic styling of Skoda
26,Gagan bhai ye kya Hall bna rakha hai tumne apna bhai koe NASHA TOH NAHI KARTE APNA KHAYAL RAKHNA 👍😂😂😂
27,"Bro , which camera is used in recording?"
28,Yaar camera.. Shi focus ni krta..
29,Does it have park assist??
30,Manual + 1.5 tsi is boom
31,I think price should be 9 lakh to 16 lakh because it is only available in petrol engine
32,"Bhai, mere ko ek baat batao, itna zoomed in position pe camera kyun rakha hai, overall looks dikh nahi raha"
33,Waste car
34,You are my favourite.. 👍👍
35,"Gagan sir, I am a fan of you, you explains each and every detail about the car if it belongs to the car's hardware/software/behaviour and driving pros and cons. I need your suggestion, and I feel you are the best person who can help me to buy my next compact SUV (crossover)/SUV. I am looking for an SUV which has at least a 1900 MM width. I am a bit obese boy so looking for a car in which I could feel comfortable and suits on my personality. Please suggest sir."
36,What is the safety rating of globel ncap
37,Price 9-15 lakh
38,3:43 Observe steering 😂😂
39,The rear wiper should be premium like other cars provide modern day wipers but the rear wiper looks old
40,I think kushaq price will start from 10.59 and new rapid will start from 9.5 lakh ex-showroom
41,Thoda alto quality lagray
42,I love most the Volkswagen T- Roc 1.5 TSI
43,There should be a panoramic sunroof 🙄
44,no cruise control
45,Nice video
46,"Which is technology wise better, VW, Skoda or Hundai, are spare parts of Skoda easily available, is it true that Skoda cars are costly to maintain?"
47,Not in Diesel would be deal braker for 50% buyer
48,Hope they did not compromise with the build quality in the name of cost cutting.
49,Top end price?
50,Bhai Volkswagen group DCT transmission ko DSG nhi bolta dono different gear ⚙ box ha DSG far superior then DCT
51,"Sunroof is given in middle model ,?"
52,Fit and finish is notches above creta
53,"I own a Volkswagen, quality of Skoda Volkswagen is impeccable, I had a Maruti , riding a Maruti gives a feel of a Poor mans car. Any vehicle from Skoda is sturdy, reliable and safe. The only problem is servicing. Skoda Volkswagen need to improve on that.."
54,Poor interior of car
55,Price should not exceed more than 10 lakh...if price is high then no chances most of family in india is hand to mouth
